time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8
18235;37.5;3.52944;4.128;0;31.5;0.999424;0.999424;21.9;5.96017;662.75;650;54.75;0.781248;13.775;1.1466;0.1014;-1.5;0.820302;1.05467;0.898426;0.898426;1.01561;0.97655;0.820302;1.01561
18588;37.5;3.52944;4.144;0;31.5;0.999424;0.999424;22.1;6.21194;649.25;650;54.75;0.786131;13.68;-0.0156;-0.0819;-1.5;0.820302;1.05467;0.898426;0.937488;0.97655;0.937488;0.820302;0.937488
18922;37.5;3.52944;4.192;0;31.5;0.999424;0.999424;21.6;6.31723;645;650;54.75;0.781248;13.49;-0.4485;-0.0702;-1.5;0.820302;0.97655;0.97655;0.937488;0.97655;0.937488;0.820302;1.01561
19483;37.5;3.9216;4.24;0;31.5;0.999424;0.999424;22.2;6.51559;644.25;650;55.5;0.781248;13.87;-0.5382;0.039;-1.5;0.859364;0.937488;0.937488;0.820302;1.01561;0.937488;0.859364;1.01561
19622;37.5;3.9216;4.256;0;31.5;0.999424;0.999424;22.1;6.24856;647.25;650;55.5;0.781248;13.68;0.0507;-0.2574;-2.25;0.898426;0.898426;0.898426;0.859364;0.97655;0.898426;0.859364;1.05467
19768;37.5;3.9216;4.24;0;31.5;0.999424;0.999424;22.1;6.24856;647.25;650;55.5;0.786131;13.965;-0.2028;0.0897;-2.25;0.898426;0.937488;0.937488;0.859364;0.97655;0.898426;0.820302;1.05467
19902;37.5;3.9216;4.256;0;31.5;0.999424;0.999424;22.1;6.2684;646;650;55.5;0.781248;13.87;0.2184;0.3081;-2.25;0.898426;0.937488;0.937488;0.859364;1.01561;0.859364;0.78124;1.05467
20092;37.5;3.9216;4.256;0;31.5;0.999424;0.999424;22.7;6.27755;650.5;650;55.5;0.781248;13.965;0.0624;0.1833;-2.25;0.898426;0.937488;0.898426;0.898426;1.05467;0.820302;0.820302;1.05467
20252;37.5;3.9216;4.288;0;31.5;0.999424;0.999424;22.6;6.04562;653.5;650;55.5;0.781248;13.87;0.312;-0.117;-2.25;0.859364;0.97655;0.937488;0.859364;1.01561;0.898426;0.78124;1.01561
20396;37.5;3.9216;4.304;0;31.5;0.999424;0.999424;22.9;6.08376;659.5;650;55.5;0.781248;13.965;1.2402;0.0858;-2.25;0.898426;1.01561;0.937488;0.859364;1.01561;0.898426;0.78124;1.01561
21423;37.5;3.9216;4.192;0;31.5;0.999424;0.999424;22.5;5.84725;667.25;650;55.5;0.781248;13.87;1.1427;0.0858;-2.25;0.937488;1.01561;0.898426;0.859364;0.97655;0.859364;0.859364;1.05467
23170;37.5;3.52944;4.208;0;31.5;0.999424;0.999424;21.4;6.42099;640.25;650;55.5;0.781248;13.775;-0.5382;-0.0858;-1.5;0.859364;0.97655;0.937488;0.97655;1.09374;0.820302;0.859364;1.05467
23852;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.7;6.18905;648;650;55.5;0.781248;13.68;0.0312;0.2769;-2.25;0.859364;1.01561;0.97655;0.937488;1.01561;0.898426;0.859364;1.01561
24724;36.75;3.52944;4.24;0;31.5;0.999424;0.999424;22;6.47287;642;650;55.5;0.781248;13.68;0.5226;-0.1482;-1.5;0.820302;1.05467;0.937488;0.898426;0.97655;1.01561;0.859364;1.05467
24958;36.75;3.52944;4.208;0;31.5;0.999424;0.999424;21.8;6.16921;647.25;650;55.5;0.781248;13.87;0.9243;-0.2067;-2.25;0.898426;1.05467;0.937488;0.937488;1.01561;0.97655;0.898426;1.05467
25157;36.75;3.52944;4.208;0;31.5;0.999424;0.999424;22;6.16921;644;650;55.5;0.786131;13.965;1.0179;-0.3315;-2.25;0.937488;1.05467;0.898426;0.97655;1.01561;1.01561;0.859364;1.01561
25428;36.75;3.52944;4.24;0;31.5;0.999424;0.999424;21.8;6.17837;645.25;650;55.5;0.781248;13.585;-0.2496;0.2262;-2.25;0.898426;1.05467;0.937488;1.01561;1.05467;1.01561;0.898426;1.01561
26018;36.75;3.9216;4.24;0;31.5;0.999424;0.999424;21.8;6.25924;643.75;650;55.5;0.781248;13.965;-0.4368;-0.0975;-2.25;0.78124;1.05467;0.898426;0.97655;0.97655;1.05467;0.859364;0.97655
26182;36.75;3.9216;4.272;0;31.5;0.999424;0.999424;22.2;6.57663;643.5;650;55.5;0.781248;13.775;0.1794;-0.0546;-1.5;0.78124;1.05467;0.898426;0.937488;1.01561;1.09374;0.859364;0.97655
26468;36.75;3.52944;4.272;0;31.5;0.999424;0.999424;22.1;6.30807;649.5;650;55.5;0.781248;13.87;-0.546;-0.3315;-2.25;0.78124;1.05467;0.820302;0.859364;1.05467;1.1328;0.898426;0.97655
26720;36.75;3.52944;4.256;0;31.5;0.999424;0.999424;22.3;5.98;653.5;650;55.5;0.781248;13.965;0.585;-0.0546;-2.25;0.820302;1.01561;0.859364;0.898426;1.05467;1.09374;0.898426;0.937488
27687;36.75;3.9216;4.192;0;31.5;0.999424;0.999424;22.5;5.87624;659.5;650;56.25;0.781248;13.87;0.2028;0.0585;-2.25;0.859364;0.97655;0.859364;0.898426;1.09374;1.17186;0.859364;0.97655
27918;36.75;3.52944;4.16;0;31.5;0.999424;0.999424;22.7;5.86556;663.5;650;56.25;0.786131;13.49;1.1427;-0.2691;-2.25;0.898426;0.937488;0.859364;0.898426;1.09374;1.28905;0.859364;1.01561
28163;36.75;3.52944;4.176;0;31.5;0.999424;0.999424;22.4;5.8564;660.75;650;56.25;0.786131;13.87;1.1466;0.039;-2.25;0.898426;0.937488;0.898426;0.898426;1.1328;1.24998;0.937488;0.97655
28397;36.75;3.52944;4.128;0;31.5;0.999424;0.999424;21.3;5.79079;663.5;650;56.25;0.781248;13.775;0.0468;0.1521;-2.25;0.859364;0.97655;0.859364;0.937488;1.09374;1.21092;0.937488;0.97655
